arrhenius_temp, ln_r
38.403666102650874, 0.44670050761421365
39.05964467005076, 0.294416243654823
38.91717428087986, -0.4162436548223347
38.91858432036097, -0.9238578680203045
38.91463620981387, -1.50253807106599
38.92106598984771, -1.8172588832487317
39.0575296108291, -0.9441624365482228
39.04599548787366, -0.7918781725888322
39.72650874224478, 0.22335025380710727
39.578990411731525, -0.67005076142132
39.5794698251551, -0.8426395939086295
39.579695431472075, -0.9238578680203045
39.58747884940778, -1.7258883248730958
39.58747884940778, -1.7258883248730958
40.131387478849405, -1.532994923857868
40.29802594472645, -1.5228426395939083
40.1922165820643, -1.4314720812182742
40.26943034404963, -1.2284263959390858
40.2633953750705, -1.0558375634517763
40.40564015792442, -0.26395939086294407
40.27129159616469, -1.8984771573604062
40.27174280879864, -2.060913705583756
40.691962774957695, -1.3401015228426392
40.97179921037789, -2.0812182741116754
40.96787930062041, -2.6700507614213196
40.97958262831359, -2.8832487309644677
41.714043993231805, -3.2893401015228436
41.72586012408347, -3.5431472081218285
38.8042967514571, -0.6976008674829437
38.9385081100619, -0.7552975195409564
39.32756517417431, -1.15971626078706
39.597252970677275, -0.9740206930827271
39.59481317489721, -1.5546920887362763
39.86845434419193, -1.4280937965933225
40.28509465503999, -1.2676998147562466
40.27969547734153, -1.5527041069895633
40.28254190575159, -1.8752541453937561
40.41747616680974, -1.760900013554421
40.993448696516516, -1.6794379433425206
40.99211584511815, -1.996656576153256
41.7310351059504, -2.133872498079791
41.72484525369358, -2.607057335200832